"Time","GPU cn2 0"
2025-12-27 17:13:30,58%
2025-12-27 17:14:00,52%
2025-12-27 17:14:30,61%
2025-12-27 17:15:00,59%
2025-12-27 17:15:30,55%
2025-12-27 17:16:00,60%
2025-12-27 17:16:30,62%
2025-12-27 17:17:00,34%
2025-12-27 17:17:30,49%
2025-12-27 17:18:00,63%
2025-12-27 17:18:30,58%
2025-12-27 17:19:00,61%
2025-12-27 17:19:30,58%
2025-12-27 17:20:00,55%
2025-12-27 17:20:30,44%
2025-12-27 17:21:00,54%
2025-12-27 17:21:30,45%
2025-12-27 17:22:00,61%
2025-12-27 17:22:30,63%
2025-12-27 17:23:00,59%
2025-12-27 17:23:30,54%
2025-12-27 17:24:00,63%
2025-12-27 17:24:30,60%
2025-12-27 17:25:00,41%
2025-12-27 17:25:30,63%
2025-12-27 17:26:00,62%
2025-12-27 17:26:30,62%
2025-12-27 17:27:00,67%
