"Time","GPU Utilization"
2025-12-17 17:54:30,45%
2025-12-17 17:55:00,52%
2025-12-17 17:55:30,36.4%
2025-12-17 17:56:00,49%
2025-12-17 17:56:30,45.2%
2025-12-17 17:57:00,45.8%
2025-12-17 17:57:30,54.8%
2025-12-17 17:58:00,54.6%
2025-12-17 17:58:30,54%
2025-12-17 17:59:00,54.4%
2025-12-17 17:59:30,45%
2025-12-17 18:00:00,54%
2025-12-17 18:00:30,53.2%
2025-12-17 18:01:00,55%
2025-12-17 18:01:30,54.4%
2025-12-17 18:02:00,53.8%
2025-12-17 18:02:30,54.4%
2025-12-17 18:03:00,56.8%
2025-12-17 18:03:30,54.8%
2025-12-17 18:04:00,46%
2025-12-17 18:04:30,54.2%
2025-12-17 18:05:00,54.4%
2025-12-17 18:05:30,55.2%
2025-12-17 18:06:00,42%
2025-12-17 18:06:30,47.2%
2025-12-17 18:07:00,47.2%
2025-12-17 18:07:30,54.4%
2025-12-17 18:08:00,45.4%
2025-12-17 18:08:30,55.4%
2025-12-17 18:09:00,36.6%
2025-12-17 18:09:30,46%
2025-12-17 18:10:00,39.2%
2025-12-17 18:10:30,53.2%
2025-12-17 18:11:00,44.8%
2025-12-17 18:11:30,55%
2025-12-17 18:12:00,50.8%
2025-12-17 18:12:30,56.4%
2025-12-17 18:13:00,41.8%
2025-12-17 18:13:30,53.8%
2025-12-17 18:14:00,55%
2025-12-17 18:14:30,54.8%
2025-12-17 18:15:00,46%
2025-12-17 18:15:30,44%
2025-12-17 18:16:00,54.6%
2025-12-17 18:16:30,55.2%
2025-12-17 18:17:00,45.8%
2025-12-17 18:17:30,55%
2025-12-17 18:18:00,55.4%
2025-12-17 18:18:30,27.6%
2025-12-17 18:19:00,30%
2025-12-17 18:19:30,45%
2025-12-17 18:20:00,46.2%
2025-12-17 18:20:30,56.4%
2025-12-17 18:21:00,46%
2025-12-17 18:21:30,34.8%
2025-12-17 18:22:00,43%
2025-12-17 18:22:30,54.6%
2025-12-17 18:23:00,38%
2025-12-17 18:23:30,36%
2025-12-17 18:24:00,45.8%
2025-12-17 18:24:30,37%
2025-12-17 18:25:00,46.2%
2025-12-17 18:25:30,54%
2025-12-17 18:26:00,53.6%
2025-12-17 18:26:30,53.8%
2025-12-17 18:27:00,28%
2025-12-17 18:27:30,46.6%
2025-12-17 18:28:00,26.4%
2025-12-17 18:28:30,19%
2025-12-17 18:29:00,36.2%
2025-12-17 18:29:30,34.2%
2025-12-17 18:30:00,54%
2025-12-17 18:30:30,46.2%
2025-12-17 18:31:00,45.2%
2025-12-17 18:31:30,45.4%
2025-12-17 18:32:00,45.2%
2025-12-17 18:32:30,26.6%
2025-12-17 18:33:00,54.4%
2025-12-17 18:33:30,45.8%
2025-12-17 18:34:00,47.2%
2025-12-17 18:34:30,52.4%
2025-12-17 18:35:00,27.2%
2025-12-17 18:35:30,35.4%
2025-12-17 18:36:00,44.8%
2025-12-17 18:36:30,54.8%
2025-12-17 18:37:00,53.4%
2025-12-17 18:37:30,45%
2025-12-17 18:38:00,51%
2025-12-17 18:38:30,56.2%
2025-12-17 18:39:00,27.2%
2025-12-17 18:39:30,18.8%
2025-12-17 18:40:00,55.8%
2025-12-17 18:40:30,53.2%
2025-12-17 18:41:00,45.8%
2025-12-17 18:41:30,45.4%
2025-12-17 18:42:00,35.6%
2025-12-17 18:42:30,44%
2025-12-17 18:43:00,27.4%
2025-12-17 18:43:30,55.4%
2025-12-17 18:44:00,37.8%
2025-12-17 18:44:30,66.6%
2025-12-17 18:45:00,8.40%
2025-12-17 18:45:30,18.4%
2025-12-17 18:46:00,18.4%
2025-12-17 18:46:30,18.8%
2025-12-17 18:47:00,35.8%
2025-12-17 18:47:30,35.8%
2025-12-17 18:48:00,19%
2025-12-17 18:48:30,19%
2025-12-17 18:49:00,16.4%
2025-12-17 18:49:30,18.8%
2025-12-17 18:50:00,36%
