"Time","GPU cn2 0"
2025-12-29 11:03:30,81%
2025-12-29 11:04:00,79%
2025-12-29 11:04:30,61%
2025-12-29 11:05:00,80%
2025-12-29 11:05:30,69%
2025-12-29 11:06:00,53%
2025-12-29 11:06:30,70%
2025-12-29 11:07:00,71%
2025-12-29 11:07:30,76%
2025-12-29 11:08:00,80%
2025-12-29 11:08:30,71%
2025-12-29 11:09:00,76%
2025-12-29 11:09:30,72%
2025-12-29 11:10:00,74%
2025-12-29 11:10:30,74%
2025-12-29 11:11:00,68%
2025-12-29 11:11:30,71%
2025-12-29 11:12:00,44%
2025-12-29 11:12:30,74%
2025-12-29 11:13:00,47%
2025-12-29 11:13:30,61%
2025-12-29 11:14:00,71%
2025-12-29 11:14:30,52%
2025-12-29 11:15:00,59%
2025-12-29 11:15:30,69%
2025-12-29 11:16:00,77%
2025-12-29 11:16:30,63%
2025-12-29 11:17:00,55%
2025-12-29 11:17:30,75%
2025-12-29 11:18:00,58%
2025-12-29 11:18:30,70%
2025-12-29 11:19:00,73%
2025-12-29 11:19:30,56%
2025-12-29 11:20:00,42%
2025-12-29 11:20:30,70%
2025-12-29 11:21:00,65%
2025-12-29 11:21:30,65%
2025-12-29 11:22:00,66%
2025-12-29 11:22:30,54%
2025-12-29 11:23:00,81%
2025-12-29 11:23:30,68%
2025-12-29 11:24:00,58%
2025-12-29 11:24:30,49%
2025-12-29 11:25:00,77%
2025-12-29 11:25:30,44%
2025-12-29 11:26:00,41%
2025-12-29 11:26:30,71%
2025-12-29 11:27:00,76%
2025-12-29 11:27:30,63%
2025-12-29 11:28:00,54%
2025-12-29 11:28:30,69%
2025-12-29 11:29:00,68%
2025-12-29 11:29:30,66%
2025-12-29 11:30:00,54%
2025-12-29 11:30:30,42%
2025-12-29 11:31:00,48%
2025-12-29 11:31:30,79%
2025-12-29 11:32:00,56%
2025-12-29 11:32:30,72%
2025-12-29 11:33:00,65%
2025-12-29 11:33:30,71%
2025-12-29 11:34:00,78%
2025-12-29 11:34:30,69%
2025-12-29 11:35:00,74%
2025-12-29 11:35:30,72%
2025-12-29 11:36:00,73%
2025-12-29 11:36:30,71%
2025-12-29 11:37:00,61%
2025-12-29 11:37:30,51%
2025-12-29 11:38:00,69%
2025-12-29 11:38:30,70%
2025-12-29 11:39:00,61%
2025-12-29 11:39:30,58%
2025-12-29 11:40:00,76%
2025-12-29 11:40:30,44%
2025-12-29 11:41:00,47%
2025-12-29 11:41:30,73%
2025-12-29 11:42:00,67%
2025-12-29 11:42:30,74%
2025-12-29 11:43:00,42%
2025-12-29 11:43:30,68%
2025-12-29 11:44:00,58%
2025-12-29 11:44:30,53%
2025-12-29 11:45:00,62%
2025-12-29 11:45:30,43%
2025-12-29 11:46:00,75%
2025-12-29 11:46:30,43%
2025-12-29 11:47:00,59%
2025-12-29 11:47:30,58%
2025-12-29 11:48:00,67%
2025-12-29 11:48:30,56%
2025-12-29 11:49:00,61%
2025-12-29 11:49:30,58%
2025-12-29 11:50:00,67%
2025-12-29 11:50:30,74%
2025-12-29 11:51:00,72%
2025-12-29 11:51:30,73%
2025-12-29 11:52:00,75%
2025-12-29 11:52:30,68%
2025-12-29 11:53:00,71%
2025-12-29 11:53:30,48%
2025-12-29 11:54:00,65%
2025-12-29 11:54:30,65%
2025-12-29 11:55:00,73%
2025-12-29 11:55:30,61%
2025-12-29 11:56:00,72%
2025-12-29 11:56:30,55%
2025-12-29 11:57:00,72%
2025-12-29 11:57:30,65%
2025-12-29 11:58:00,53%
2025-12-29 11:58:30,43%
2025-12-29 11:59:00,77%
2025-12-29 11:59:30,61%
2025-12-29 12:00:00,42%
2025-12-29 12:00:30,58%
2025-12-29 12:01:00,62%
2025-12-29 12:01:30,71%
2025-12-29 12:02:00,43%
2025-12-29 12:02:30,58%
2025-12-29 12:03:00,71%
2025-12-29 12:03:30,43%
2025-12-29 12:04:00,61%
2025-12-29 12:04:30,63%
2025-12-29 12:05:00,72%
2025-12-29 12:05:30,68%
2025-12-29 12:06:00,77%
2025-12-29 12:06:30,43%
2025-12-29 12:07:00,70%
2025-12-29 12:07:30,41%
2025-12-29 12:08:00,71%
2025-12-29 12:08:30,79%
2025-12-29 12:09:00,51%
2025-12-29 12:09:30,58%
2025-12-29 12:10:00,68%
2025-12-29 12:10:30,63%
2025-12-29 12:11:00,71%
2025-12-29 12:11:30,53%
2025-12-29 12:12:00,69%
2025-12-29 12:12:30,64%
2025-12-29 12:13:00,73%
2025-12-29 12:13:30,0%
