"Time","GPU cn2 0"
2025-12-27 13:39:00,44%
2025-12-27 13:39:30,40%
2025-12-27 13:40:00,48%
2025-12-27 13:40:30,46%
2025-12-27 13:41:00,47%
2025-12-27 13:41:30,48%
2025-12-27 13:42:00,37%
2025-12-27 13:42:30,45%
2025-12-27 13:43:00,42%
2025-12-27 13:43:30,37%
2025-12-27 13:44:00,46%
2025-12-27 13:44:30,44%
2025-12-27 13:45:00,38%
2025-12-27 13:45:30,43%
2025-12-27 13:46:00,41%
2025-12-27 13:46:30,47%
2025-12-27 13:47:00,45%
2025-12-27 13:47:30,39%
2025-12-27 13:48:00,44%
2025-12-27 13:48:30,47%
2025-12-27 13:49:00,46%
2025-12-27 13:49:30,42%
2025-12-27 13:50:00,40%
2025-12-27 13:50:30,46%
2025-12-27 13:51:00,40%
2025-12-27 13:51:30,46%
2025-12-27 13:52:00,44%
2025-12-27 13:52:30,40%
2025-12-27 13:53:00,45%
2025-12-27 13:53:30,47%
2025-12-27 13:54:00,40%
2025-12-27 13:54:30,45%
2025-12-27 13:55:00,47%
2025-12-27 13:55:30,51%
2025-12-27 13:56:00,41%
2025-12-27 13:56:30,42%
2025-12-27 13:57:00,41%
2025-12-27 13:57:30,40%
2025-12-27 13:58:00,41%
2025-12-27 13:58:30,42%
2025-12-27 13:59:00,40%
2025-12-27 13:59:30,48%
2025-12-27 14:00:00,43%
2025-12-27 14:00:30,42%
2025-12-27 14:01:00,45%
2025-12-27 14:01:30,43%
2025-12-27 14:02:00,56%
2025-12-27 14:02:30,56%
2025-12-27 14:03:00,44%
2025-12-27 14:03:30,43%
2025-12-27 14:04:00,65%
2025-12-27 14:04:30,40%
2025-12-27 14:05:00,40%
2025-12-27 14:05:30,41%
2025-12-27 14:06:00,41%
2025-12-27 14:06:30,47%
2025-12-27 14:07:00,40%
2025-12-27 14:07:30,42%
2025-12-27 14:08:00,46%
2025-12-27 14:08:30,49%
2025-12-27 14:09:00,42%
2025-12-27 14:09:30,47%
2025-12-27 14:10:00,41%
2025-12-27 14:10:30,47%
2025-12-27 14:11:00,42%
2025-12-27 14:11:30,43%
2025-12-27 14:12:00,44%
2025-12-27 14:12:30,40%
2025-12-27 14:13:00,35%
2025-12-27 14:13:30,46%
2025-12-27 14:14:00,44%
2025-12-27 14:14:30,57%
2025-12-27 14:15:00,41%
2025-12-27 14:15:30,40%
2025-12-27 14:16:00,48%
2025-12-27 14:16:30,41%
2025-12-27 14:17:00,40%
2025-12-27 14:17:30,38%
2025-12-27 14:18:00,47%
2025-12-27 14:18:30,37%
2025-12-27 14:19:00,41%
2025-12-27 14:19:30,40%
2025-12-27 14:20:00,40%
2025-12-27 14:20:30,40%
2025-12-27 14:21:00,48%
2025-12-27 14:21:30,38%
2025-12-27 14:22:00,42%
2025-12-27 14:22:30,44%
2025-12-27 14:23:00,41%
2025-12-27 14:23:30,40%
2025-12-27 14:24:00,41%
2025-12-27 14:24:30,40%
2025-12-27 14:25:00,46%
2025-12-27 14:25:30,49%
2025-12-27 14:26:00,44%
2025-12-27 14:26:30,40%
2025-12-27 14:27:00,37%
2025-12-27 14:27:30,42%
2025-12-27 14:28:00,40%
2025-12-27 14:28:30,40%
2025-12-27 14:29:00,37%
2025-12-27 14:29:30,42%
2025-12-27 14:30:00,55%
2025-12-27 14:30:30,44%
2025-12-27 14:31:00,44%
2025-12-27 14:31:30,47%
2025-12-27 14:32:00,47%
2025-12-27 14:32:30,44%
2025-12-27 14:33:00,47%
2025-12-27 14:33:30,47%
2025-12-27 14:34:00,40%
2025-12-27 14:34:30,55%
2025-12-27 14:35:00,47%
2025-12-27 14:35:30,46%
2025-12-27 14:36:00,44%
2025-12-27 14:36:30,46%
2025-12-27 14:37:00,40%
2025-12-27 14:37:30,47%
2025-12-27 14:38:00,45%
2025-12-27 14:38:30,45%
2025-12-27 14:39:00,44%
2025-12-27 14:39:30,41%
2025-12-27 14:40:00,45%
2025-12-27 14:40:30,40%
2025-12-27 14:41:00,44%
2025-12-27 14:41:30,37%
2025-12-27 14:42:00,41%
2025-12-27 14:42:30,40%
2025-12-27 14:43:00,40%
2025-12-27 14:43:30,47%
2025-12-27 14:44:00,40%
2025-12-27 14:44:30,52%
2025-12-27 14:45:00,52%
2025-12-27 14:45:30,40%
2025-12-27 14:46:00,41%
2025-12-27 14:46:30,40%
2025-12-27 14:47:00,42%
2025-12-27 14:47:30,40%
2025-12-27 14:48:00,46%
2025-12-27 14:48:30,47%
2025-12-27 14:49:00,40%
2025-12-27 14:49:30,38%
2025-12-27 14:50:00,47%
2025-12-27 14:50:30,42%
2025-12-27 14:51:00,63%
2025-12-27 14:51:30,40%
2025-12-27 14:52:00,46%
2025-12-27 14:52:30,45%
2025-12-27 14:53:00,40%
2025-12-27 14:53:30,44%
2025-12-27 14:54:00,47%
2025-12-27 14:54:30,40%
2025-12-27 14:55:00,44%
2025-12-27 14:55:30,44%
2025-12-27 14:56:00,49%
2025-12-27 14:56:30,57%
2025-12-27 14:57:00,41%
2025-12-27 14:57:30,40%
2025-12-27 14:58:00,40%
2025-12-27 14:58:30,47%
2025-12-27 14:59:00,43%
2025-12-27 14:59:30,64%
2025-12-27 15:00:00,40%
2025-12-27 15:00:30,40%
2025-12-27 15:01:00,43%
2025-12-27 15:01:30,46%
2025-12-27 15:02:00,40%
2025-12-27 15:02:30,41%
2025-12-27 15:03:00,0%
2025-12-27 15:03:30,48%
2025-12-27 15:04:00,55%
2025-12-27 15:04:30,44%
2025-12-27 15:05:00,47%
2025-12-27 15:05:30,50%
2025-12-27 15:06:00,47%
2025-12-27 15:06:30,42%
2025-12-27 15:07:00,42%
2025-12-27 15:07:30,46%
2025-12-27 15:08:00,68%
2025-12-27 15:08:30,70%
2025-12-27 15:09:00,52%
2025-12-27 15:09:30,40%
2025-12-27 15:10:00,46%
2025-12-27 15:10:30,40%
2025-12-27 15:11:00,68%
2025-12-27 15:11:30,57%
